source_authority,source_id,target_id,disposition,owner_repo,evidence,control_plane
jk,codex-bg-notifier,personal.codex-bg-notifier,migrate,jk/jk-email-agents,issue-15 allowlist 2026-08-08,false
jk,contacts-agent,personal.contacts-agent,retire,jk/jk-email-agents,issue-15 compatibility alias default-retire,false
jk,email-operator,personal.email-operator,retire,jk/jk-email-agents,issue-15 compatibility alias default-retire,false
jk,gmail-ingest,personal.gmail-ingest,retire,jk/jk-email-agents,issue-15 compatibility alias default-retire,false
jk,hall-monitor,personal.hall-monitor,migrate,jk/jk-email-agents,issue-15 allowlist 2026-08-08,false
jk,jk-calendar-guard-agent,personal.jk-calendar-guard-agent,split,jk/jk-email-agents,issue-16 ruling-2 split,false
jk,jk-claim-ledger-writer,personal.jk-claim-ledger-writer,migrate,jk/jk-email-agents,issue-15 allowlist 2026-08-08,false
jk,jk-claude-wiki-mcp,personal.jk-claude-wiki-mcp,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-contacts-agent,personal.jk-contacts-agent,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-deposit-runner,personal.jk-deposit-runner,migrate,jk/jk-email-agents,issue-15 allowlist 2026-08-08,false
jk,jk-email-operator,personal.jk-email-operator,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-fable-operator,personal.jk-fable-operator,split,jk/jk-email-agents,issue-16 cross-authority split ruling,false
jk,jk-gcal-ingest,personal.jk-gcal-ingest,retire,jk/jk-email-agents,issue-16 persisted-only retire ruling,false
jk,jk-gmail-ingest,personal.jk-gmail-ingest,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-inbox-action-agent,personal.jk-inbox-action-agent,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-inbox-triage-agent,personal.jk-inbox-triage-agent,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-llm-wiki-bridge,personal.jk-llm-wiki-bridge,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-outlook-calendar-agent,personal.jk-outlook-calendar-agent,migrate,jk/jk-email-agents,issue-15 live registry 2026-08-08,false
jk,jk-paper-extractor,personal.jk-paper-extractor,migrate,jk/jk-email-agents,issue-15 allowlist 2026-08-08,false
